"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.474911130E-1,7.657032460E-2,6.424728632E-1,9.890133858E0,9.911275504E0
6.499521540E-1,2.871387079E-2,5.994020700E-1,9.938289642E0,9.956390327E0
6.524132480E-1,-4.785645287E-3,5.587241054E-1,9.957432747E0,9.973096933E0
6.548743420E-1,1.435693540E-2,6.472585201E-1,9.866206169E0,9.887425038E0
6.573353830E-1,5.742774159E-2,6.329016089E-1,9.837491989E0,9.857997313E0
6.597964770E-1,1.052841991E-1,6.089733839E-1,9.894919395E0,9.914200078E0
6.622694460E-1,1.196411327E-1,6.137589812E-1,9.885348320E0,9.905106032E0
6.647304880E-1,1.172483116E-1,6.209374666E-1,9.873384476E0,9.893585372E0
6.671915810E-1,7.657032460E-2,6.257231236E-1,9.911669731E0,9.931696195E0
6.696526230E-1,7.178468257E-2,6.161518097E-1,9.904491425E0,9.923897746E0
6.721137170E-1,3.349951655E-2,6.520441771E-1,9.839884758E0,9.861521986E0
6.745748110E-1,2.153540403E-2,6.137589812E-1,9.842277527E0,9.861419308E0
6.770358520E-1,5.982056633E-2,6.424728632E-1,9.839884758E0,9.861018301E0
6.794968940E-1,8.614161611E-2,6.281159520E-1,9.875777245E0,9.896106619E0
6.819579880E-1,5.503492057E-2,6.017948985E-1,9.933504105E0,9.951868656E0
6.844190810E-1,6.939185411E-2,5.922235847E-1,9.978967667E0,9.996766462E0
6.868801230E-1,6.699903309E-2,6.233302951E-1,9.916455269E0,9.936252544E0
6.893412170E-1,8.853443712E-2,6.400800347E-1,9.844670296E0,9.865853943E0
6.917967900E-1,9.092725813E-2,6.329016089E-1,9.863813400E0,9.884515517E0
6.942578310E-1,4.067798331E-2,6.376872063E-1,9.878170013E0,9.898815206E0
6.967189250E-1,6.460621208E-2,5.826523304E-1,9.859027863E0,9.876441064E0
6.991799670E-1,7.896314561E-2,6.089733839E-1,9.906884193E0,9.925897349E0
7.016410610E-1,6.939185411E-2,6.089733839E-1,9.931111336E0,9.950006843E0
7.041021020E-1,8.135596663E-2,6.233302951E-1,9.885348320E0,9.905315283E0
7.065631960E-1,6.699903309E-2,6.592226624E-1,9.938289642E0,9.960354632E0
7.090242900E-1,6.939185411E-2,6.544370055E-1,9.919147491E0,9.940955185E0
7.114853310E-1,6.460621208E-2,6.233302951E-1,9.890133858E0,9.909967828E0
7.139464250E-1,6.699903309E-2,6.065805554E-1,9.847063065E0,9.865955597E0
7.164074670E-1,5.264209956E-2,6.017948985E-1,9.906884193E0,9.925285019E0
7.188685610E-1,9.092725813E-2,5.946164131E-1,9.902098656E0,9.920352526E0
7.213253830E-1,7.178468257E-2,6.089733839E-1,9.880562782E0,9.899571835E0
7.237864770E-1,1.076770201E-1,6.305087805E-1,9.856635094E0,9.877367617E0
7.262475710E-1,5.982056633E-2,6.376872063E-1,9.827920914E0,9.848769109E0
7.287086130E-1,2.153540403E-2,6.305087805E-1,9.882955551E0,9.903071015E0
7.311697060E-1,9.332008660E-2,5.922235847E-1,9.885348320E0,9.903511944E0
