"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.422715848E0,3.979206085E-2,1.292747259E-2,5.752277374E-2,7.112943943E-2
1.427672411E0,2.987125516E-2,1.758709550E-2,6.654644012E-2,7.503350256E-2
1.432630067E0,1.523543894E-2,7.824510336E-3,6.124687195E-2,6.359654775E-2
1.437586629E0,2.214802802E-2,-1.130640507E-2,3.223419189E-2,4.071133832E-2
1.442543244E0,-1.380713657E-2,-8.975863457E-3,7.235622406E-2,7.420664596E-2
1.447499806E0,9.951636195E-3,7.743746042E-3,4.799842834E-2,4.962710740E-2
1.452456369E0,-1.389348879E-2,1.007056236E-2,5.709934235E-2,5.962197710E-2
1.457412931E0,-1.138051599E-2,9.872704744E-3,4.367828369E-3,1.568643898E-2
1.462361108E0,1.230653375E-2,2.868157625E-2,-1.941680908E-2,3.675725866E-2
1.467317671E0,-2.110444009E-3,-2.371370792E-3,4.963302612E-2,4.973444134E-2
1.472274286E0,-1.630112529E-2,2.441227436E-3,8.722400665E-2,8.876775098E-2
1.477230848E0,-3.042922541E-2,-2.339631319E-3,5.799198151E-2,6.553229397E-2
1.482187411E0,-3.725860268E-2,-3.566515446E-2,-1.612949371E-2,5.404042268E-2
1.487143973E0,-6.126038730E-3,-1.874902844E-2,-2.549552917E-2,3.223470841E-2
1.492097931E0,1.047062129E-2,1.220139861E-2,-5.378532410E-2,5.613705662E-2
1.497054494E0,8.153911680E-2,-2.351745963E-2,-8.421897888E-2,1.195597544E-1
1.502011108E0,1.418243349E-2,-1.382938027E-2,9.131431580E-3,2.181229518E-2
1.506967671E0,1.643166691E-2,2.441406250E-2,-1.708126068E-2,3.402668940E-2
1.511924233E0,6.622076780E-2,-4.201501608E-3,-6.920528412E-2,9.587603482E-2
1.516880796E0,8.231154829E-2,-1.929610968E-3,-9.000110626E-2,1.219799718E-1
1.521833608E0,8.394132555E-2,-6.674408913E-3,-7.499694824E-2,1.127618558E-1
1.526790119E0,7.827686518E-2,2.769857645E-3,-1.123733521E-1,1.369770418E-1
1.531746733E0,1.037473455E-1,-2.065837383E-3,-8.767795563E-2,1.358499293E-1
1.536703296E0,5.536782742E-2,-1.153528690E-2,-5.844211578E-2,8.132736350E-2
1.541659858E0,7.145334035E-2,-1.921504736E-3,-7.220840454E-2,1.016037682E-1
1.546616421E0,3.519213200E-2,-1.619461179E-2,-4.309844971E-2,5.795021978E-2
1.551573296E0,-5.307527259E-2,1.478564739E-2,4.774093628E-3,5.530272958E-2
1.556529858E0,1.980789006E-3,1.937621832E-2,2.849197388E-2,3.451309805E-2
1.561486473E0,1.383384317E-2,-1.402673125E-2,-3.826141357E-2,4.303556872E-2
1.566443036E0,8.853279054E-3,1.698866487E-2,-9.733104706E-2,9.919842743E-2
1.571399598E0,1.339440793E-2,1.451328397E-2,-4.663467407E-2,5.064423364E-2
1.576356161E0,8.286863565E-3,2.383357286E-2,-1.298332214E-2,2.837741985E-2
1.581298400E0,2.243844420E-2,-1.425462961E-2,-1.525688171E-2,3.065045975E-2
1.586254963E0,1.752463728E-2,-1.874250174E-2,-3.889274597E-2,4.659441997E-2
1.591211577E0,-4.107639194E-3,2.640891075E-2,-7.656955719E-2,8.109994054E-2
1.596168140E0,-4.206955433E-3,4.275545478E-2,-7.117652893E-2,8.313739025E-2
1.601124702E0,2.897795290E-2,3.069213033E-2,2.443122864E-2,4.877103188E-2
1.606081317E0,5.028612912E-3,-4.301965237E-4,2.897739410E-2,2.941362585E-2
1.611048765E0,2.631559968E-3,-4.368424416E-4,9.731292725E-3,1.009029223E-2
1.616005327E0,9.622052312E-3,1.378479600E-2,2.628135681E-2,3.119798403E-2
1.620961942E0,9.510479867E-3,3.973889351E-2,7.061958313E-3,4.146685592E-2
1.625918504E0,-1.268759370E-4,2.028954029E-2,-7.243156433E-3,2.154402139E-2
1.630875067E0,-9.663268924E-3,1.538571715E-2,-2.618789673E-2,3.187326456E-2
1.635831629E0,-4.837185144E-3,1.764872670E-2,-2.359485626E-2,2.985955720E-2
1.640773400E0,-1.195476204E-2,1.041641831E-2,7.481575012E-3,1.753260022E-2
1.645729963E0,-3.324310854E-2,7.659494877E-4,7.393741608E-2,8.107053990E-2
1.650686577E0,-9.271875024E-3,-1.833191514E-2,7.095050812E-2,7.386475060E-2
1.655643140E0,2.696365118E-4,-1.351484656E-2,1.810169220E-2,2.259192426E-2
1.660599702E0,-1.634362713E-2,-8.686840534E-3,4.883480072E-2,5.222464081E-2
